1_ortho	4_cgram	11_infover	5_genre
parlerait	VER	cnd:pre:3s;	na
parlerais	VER	cnd:pre:1s;cnd:pre:2s;	na
parlerai	VER	ind:fut:1s;	na
parlera	VER	ind:fut:3s;	na
parlassent	VER	sub:imp:3p;	na
parler	VER	inf;;inf;;inf;;inf;;	na
parlent	VER	ind:pre:3p;sub:pre:3p;	na
parle	VER	imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:1s;sub:pre:3s;	na
parlasses	VER	sub:imp:2s;	na
parles	VER	ind:pre:2s;sub:pre:2s;	na
parleraient	VER	cnd:pre:3p;	na
parliez	VER	ind:imp:2p;sub:pre:2p;	na
parlâmes	VER	ind:pas:1p;	na
parlées	VER	par:pas;	f
parlée	VER	par:pas;	f
parlé	VER	par:pas;par:pas;par:pas;par:pas;	m
parlèrent	VER	ind:pas:3p;	na
parlât	VER	sub:imp:3s;	na
parlions	VER	ind:imp:1p;	na
parlons	VER	imp:pre:1p;ind:pre:1p;	na
prendra	VER	ind:fut:3s;	na
prendrons	VER	ind:fut:1p;	na
prennes	VER	sub:pre:2s;	na
prennent	VER	ind:pre:3p;	na
prenne	VER	sub:pre:1s;sub:pre:3s;	na
prenions	VER	ind:imp:1p;	na
preniez	VER	ind:imp:2p;	na
prenez	VER	imp:pre:2p;ind:pre:2p;	na
prenait	VER	ind:imp:3s;	na
prends	VER	imp:pre:2s;ind:pre:1s;ind:pre:2s;	na
prendront	VER	ind:fut:3p;	na
prendrions	VER	cnd:pre:1p;	na
prendrai	VER	ind:fut:1s;	na
prendriez	VER	cnd:pre:2p;	na
prendrez	VER	ind:fut:2p;	na
prendre	VER	inf;;inf;;inf;;	na
prenons	VER	imp:pre:1p;ind:pre:1p;	na
prendrait	VER	cnd:pre:3s;	na
prenant	VER	par:pre;	na
prendrais	VER	cnd:pre:1s;cnd:pre:2s;	na
prendraient	VER	cnd:pre:3p;	na
prend	VER	ind:pre:3s;	na
prendras	VER	ind:fut:2s;	na
prirent	VER	ind:pas:3p;	na
prenais	VER	ind:imp:1s;ind:imp:2s;	na
prenaient	VER	ind:imp:3p;	na
prîmes	VER	ind:pas:1p;	na
passer	VER	imp:pre:2p;	na
pris	VER	ind:pas:1s;ind:pas:2s;par:pas;par:pas;par:pas;	m
prise	VER	par:pas;	f
prises	VER	par:pas;	f
prisse	VER	sub:imp:1s;	na
prissent	VER	sub:imp:3p;	na
prissions	VER	sub:imp:1p;	na
prît	VER	sub:imp:3s;	na
prit	VER	ind:pas:3s;	na
cette	ADJ:dem	na	f
votre	ADJ:pos	na	na
quand	CON	na	na
alors	ADV	na	na
chose	NOM	na	f
choses	NOM	na	f
par	PRE	na	na
son	ADJ:pos	na	na
ton	ADJ:pos	na	na
croies	VER	sub:pre:2s;	na
cru	VER	par:pas;	m
crûmes	VER	ind:pas:1p;	na
croyez	VER	imp:pre:2p;ind:pre:2p;	na
croyiez	VER	ind:imp:2p;sub:pre:2p;	na
croient	VER	ind:pre:3p;	na
croyons	VER	imp:pre:1p;ind:pre:1p;	na
croie	VER	sub:pre:1s;sub:pre:3s;	na
croyions	VER	ind:imp:1p;	na
crût	VER	sub:imp:3s;	na
croiras	VER	ind:fut:2s;	na
croit	VER	ind:pre:3s;	na
